nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x00000178 0x00000178 5   6            ascii   .text
2    0x0000019f 0x0000019f 6   7            ascii   `.rsrc
3    0x000001c7 0x000001c7 7   8            ascii   @.reloc
4    0x0000d424 0x0040e424 5   24   .text   utf32le Yu=!꠸
60   0x00011615 0x00412615 4   5    .text   ascii   \nrBN
61   0x0001162e 0x0041262e 5   6    .text   ascii   \n-\a(H
62   0x0001164a 0x0041264a 4   5    .text   ascii   \nrBN
63   0x000116f3 0x004126f3 5   6    .text   ascii   \n-\a(H
64   0x0001170f 0x0041270f 4   5    .text   ascii   \nrBN
65   0x00011729 0x00412729 5   6    .text   ascii   \n-\a(H
66   0x00011745 0x00412745 4   5    .text   ascii   \nrBN
67   0x0001175f 0x0041275f 5   6    .text   ascii   \n-\a(H
68   0x0001177b 0x0041277b 4   5    .text   ascii   \nrBN
69   0x00011795 0x00412795 5   6    .text   ascii   \n-\a(H
70   0x000117b1 0x004127b1 4   5    .text   ascii   \nrBN
71   0x00011861 0x00412861 5   6    .text   ascii   \n-\a(H
72   0x0001187c 0x0041287c 4   5    .text   ascii   \nrBN
73   0x00011895 0x00412895 5   6    .text   ascii   \n-\a(H
74   0x000118b1 0x004128b1 4   5    .text   ascii   \nrBN
75   0x000118ca 0x004128ca 5   6    .text   ascii   \n-\a(H
76   0x000118e6 0x004128e6 4   5    .text   ascii   \nrBN
77   0x000118ff 0x004128ff 5   6    .text   ascii   \n-\a(H
78   0x0001191b 0x0041291b 4   5    .text   ascii   \nrBN
79   0x00011934 0x00412934 5   6    .text   ascii   \n-\a(H
80   0x00011950 0x00412950 4   5    .text   ascii   \nrBN
81   0x00011969 0x00412969 5   6    .text   ascii   \n-\a(H
82   0x00011985 0x00412985 4   5    .text   ascii   \nrBN
83   0x0001199e 0x0041299e 5   6    .text   ascii   \n-\a(H
84   0x000119ba 0x004129ba 4   5    .text   ascii   \nrBN
85   0x000119d3 0x004129d3 5   6    .text   ascii   \n-\a(H
86   0x000119ef 0x004129ef 4   5    .text   ascii   \nrBN
87   0x00011a08 0x00412a08 5   6    .text   ascii   \n-\a(H
88   0x00011a24 0x00412a24 4   5    .text   ascii   \nrBN
89   0x00011a3e 0x00412a3e 5   6    .text   ascii   \n-\a(H
90   0x00011a5a 0x00412a5a 4   5    .text   ascii   \nrBN
91   0x00011a74 0x00412a74 5   6    .text   ascii   \n-\a(H
92   0x00011a90 0x00412a90 4   5    .text   ascii   \nrBN
93   0x00011aaa 0x00412aaa 5   6    .text   ascii   \n-\a(H
94   0x00011ac6 0x00412ac6 4   5    .text   ascii   \nrBN
95   0x00011ae0 0x00412ae0 5   6    .text   ascii   \n-\a(H
96   0x00011afc 0x00412afc 4   5    .text   ascii   \nrBN
97   0x00011b16 0x00412b16 5   6    .text   ascii   \n-\a(H
98   0x00011b32 0x00412b32 4   5    .text   ascii   \nrBN
99   0x00011b4c 0x00412b4c 5   6    .text   ascii   \n-\a(H
100  0x00011b68 0x00412b68 4   5    .text   ascii   \nrBN
101  0x00011b82 0x00412b82 5   6    .text   ascii   \n-\a(H
102  0x00011b9e 0x00412b9e 4   5    .text   ascii   \nrBN
103  0x00011bb8 0x00412bb8 5   6    .text   ascii   \n-\a(H
104  0x00011bd4 0x00412bd4 4   5    .text   ascii   \nrBN
105  0x00011bee 0x00412bee 5   6    .text   ascii   \n-\a(H
106  0x00011c0a 0x00412c0a 4   5    .text   ascii   \nrBN
107  0x00011c24 0x00412c24 5   6    .text   ascii   \n-\a(H
108  0x00011c40 0x00412c40 4   5    .text   ascii   \nrBN
109  0x00011c5a 0x00412c5a 5   6    .text   ascii   \n-\a(H
110  0x00011c76 0x00412c76 4   5    .text   ascii   \nrBN
111  0x00011c90 0x00412c90 5   6    .text   ascii   \n-\a(H
112  0x00011cac 0x00412cac 4   5    .text   ascii   \nrBN
113  0x00011cc6 0x00412cc6 5   6    .text   ascii   \n-\a(H
114  0x00011ce2 0x00412ce2 4   5    .text   ascii   \nrBN
115  0x00011cfc 0x00412cfc 5   6    .text   ascii   \n-\a(H
116  0x00011d18 0x00412d18 4   5    .text   ascii   \nrBN
117  0x00011d32 0x00412d32 5   6    .text   ascii   \n-\a(H
118  0x00011d4e 0x00412d4e 4   5    .text   ascii   \nrBN
119  0x00011d68 0x00412d68 5   6    .text   ascii   \n-\a(H
120  0x00011d84 0x00412d84 4   5    .text   ascii   \nrBN
121  0x00011d9e 0x00412d9e 5   6    .text   ascii   \n-\a(H
122  0x00011dba 0x00412dba 4   5    .text   ascii   \nrBN
123  0x00011dd4 0x00412dd4 5   6    .text   ascii   \n-\a(H
124  0x00011df0 0x00412df0 4   5    .text   ascii   \nrBN
125  0x00011e0a 0x00412e0a 5   6    .text   ascii   \n-\a(H
126  0x00011e26 0x00412e26 4   5    .text   ascii   \nrBN
127  0x00011e40 0x00412e40 5   6    .text   ascii   \n-\a(H
128  0x00011e5c 0x00412e5c 4   5    .text   ascii   \nrBN
129  0x00011e76 0x00412e76 5   6    .text   ascii   \n-\a(H
130  0x00011e92 0x00412e92 4   5    .text   ascii   \nrBN
131  0x0001228c 0x0041328c 4   5    .text   ascii   \v\aE%
132  0x000127f5 0x004137f5 4   5    .text   ascii   *rfN
133  0x00012838 0x00413838 4   5    .text   ascii   \n* X
134  0x00012930 0x00413930 4   5    .text   ascii   \n* X
135  0x00012bc8 0x00413bc8 5   6    .text   ascii   [\f\a(P
136  0x00012bd5 0x00413bd5 5   6    .text   ascii   1BrjO
137  0x000135b2 0x004145b2 4   5    .text   ascii   \f\bE\b
138  0x00013692 0x00414692 4   5    .text   ascii   \r\tE\n
139  0x00013b58 0x00414b58 5   6    .text   ascii   +\vr(Q
140  0x000140ba 0x004150ba 5   6    .text   ascii   +(\t F
141  0x00014213 0x00415213 4   5    .text   ascii   \n*se
142  0x00014402 0x00415402 4   5    .text   ascii   \n* X
143  0x000144a0 0x004154a0 4   5    .text   ascii   \n* X
144  0x0001455b 0x0041555b 4   5    .text   ascii   \n* X
145  0x000146f3 0x004156f3 4   5    .text   ascii   \n\r\ts
146  0x00014d37 0x00415d37 4   5    .text   ascii   \nr#S
147  0x00014d6e 0x00415d6e 4   5    .text   ascii   \nraS
148  0x00014e2f 0x00415e2f 8   9    .text   ascii   l#333333
149  0x00014ea3 0x00415ea3 4   5    .text   ascii   \n\fr\e
150  0x00014eac 0x00415eac 4   5    .text   ascii   +\r\to
151  0x00014ec0 0x00415ec0 4   5    .text   ascii   \n%\r-
152  0x000150f6 0x004160f6 4   5    .text   ascii   \f\bE\a
153  0x00015692 0x00416692 4   5    .text   ascii   +\n\e*
154  0x0001569d 0x0041669d 4   5    .text   ascii   *r\tU
155  0x000156e6 0x004166e6 4   5    .text   ascii   +\n\e*
156  0x000156f1 0x004166f1 4   5    .text   ascii   *r5U
157  0x00015834 0x00416834 4   5    .text   ascii   p\vr\e
158  0x0001583a 0x0041683a 4   5    .text   ascii   p\f+J
159  0x00015e36 0x00416e36 4   5    .text   ascii   \f\b\a(
160  0x00015ed7 0x00416ed7 4   5    .text   ascii   \nruU
161  0x00015fad 0x00416fad 4   5    .text   ascii   \nruU
162  0x0001605b 0x0041705b 4   5    .text   ascii   \nruU
163  0x00016131 0x00417131 4   5    .text   ascii   \nruU
164  0x000161df 0x004171df 4   5    .text   ascii   \nruU
165  0x00016322 0x00417322 4   5    .text   ascii   23g\b
166  0x0001650e 0x0041750e 4   5    .text   ascii   \nruU
167  0x00016858 0x00417858 4   5    .text   ascii   \r\tE\b
168  0x00016a4e 0x00417a4e 4   5    .text   ascii   \f\b,\b
169  0x00016b7d 0x00417b7d 4   5    .text   ascii   \a\b\t(
170  0x00016ead 0x00417ead 4   5    .text   ascii   \v\aE)
171  0x00016ec4 0x00417ec4 24  100  .text   utf32le \e¼&¼1¼<¼D¼L¼T¼\¼d¼l¼t¼|¼
172  0x00016f98 0x00417f98 5   6    .text   ascii   p\n+~r
173  0x00016fa0 0x00417fa0 5   6    .text   ascii   p\n+vr
174  0x00016fa8 0x00417fa8 5   6    .text   ascii   p\n+nr
175  0x00016fb0 0x00417fb0 5   6    .text   ascii   p\n+fr
176  0x00016fb8 0x00417fb8 7   8    .text   ascii   p\n+^r9W
177  0x00016fc0 0x00417fc0 7   8    .text   ascii   p\n+VraW
178  0x00016fc8 0x00417fc8 5   6    .text   ascii   p\n+Nr
179  0x00016fd0 0x00417fd0 5   6    .text   ascii   p\n+Fr
180  0x00016fd8 0x00417fd8 5   6    .text   ascii   p\n+>r
181  0x00016fe0 0x00417fe0 5   6    .text   ascii   p\n+6r
182  0x00016fe8 0x00417fe8 5   6    .text   ascii   p\n+.r
183  0x00016ff0 0x00417ff0 7   8    .text   ascii   p\n+&r/X
184  0x00017382 0x00418382 4   5    .text   ascii   \f\bE\t
185  0x00017665 0x00418665 4   5    .text   ascii   \n* X
186  0x000176f5 0x004186f5 4   5    .text   ascii   \n* X
187  0x0001782a 0x0041882a 4   5    .text   ascii   \n* X
188  0x00017bd0 0x00418bd0 4   5    .text   ascii   \nr~Y
189  0x00017bd7 0x00418bd7 4   5    .text   ascii   \t-\ar
190  0x00017c05 0x00418c05 4   5    .text   ascii   \a-\ar
191  0x00017c33 0x00418c33 4   5    .text   ascii   \b-\ar
192  0x00017c62 0x00418c62 4   5    .text   ascii   &2\ar
193  0x00017cb0 0x00418cb0 4   5    .text   ascii   \nr.N
194  0x00017cfb 0x00418cfb 4   5    .text   ascii   \nr~Y
195  0x00017d02 0x00418d02 4   5    .text   ascii   \t-\ar
196  0x00017d30 0x00418d30 4   5    .text   ascii   \a-\ar
197  0x00017d5e 0x00418d5e 4   5    .text   ascii   \b-\ar
198  0x00017d8d 0x00418d8d 4   5    .text   ascii   &2\ar
199  0x00017ddb 0x00418ddb 4   5    .text   ascii   \nr.N
200  0x00017e26 0x00418e26 4   5    .text   ascii   \nr~Y
201  0x00017e2d 0x00418e2d 4   5    .text   ascii   \t-\ar
202  0x00017e5b 0x00418e5b 4   5    .text   ascii   \a-\ar
203  0x00017e89 0x00418e89 4   5    .text   ascii   \b-\ar
204  0x00017eb8 0x00418eb8 4   5    .text   ascii   &2\ar
205  0x00017f06 0x00418f06 4   5    .text   ascii   \nr.N
206  0x00017f5c 0x00418f5c 4   5    .text   ascii   \nr~Y
207  0x00017f63 0x00418f63 4   5    .text   ascii   \t-\ar
208  0x00017f91 0x00418f91 4   5    .text   ascii   \a-\ar
209  0x00017fbf 0x00418fbf 4   5    .text   ascii   \b-\ar
210  0x00018009 0x00419009 4   5    .text   ascii   \nr.N
211  0x0001803c 0x0041903c 158 159  .text   ascii   )System.Resources.ResourceReader, mscorlibsSystem.Resources.RuntimeResourceSet, mscorlib, Version=1.0.5000.0, Culture=neutral, PublicKeyToken=b77a5c561934e089
212  0x000180e6 0x004190e6 954 955  .text   ascii   mSystem.CodeDom.MemberAttributes, System, Version=1.0.5000.0, Culture=neutral, PublicKeyToken=b77a5c561934e089^System.Boolean, mscorlib, Version=1.0.5000.0, Culture=neutral, PublicKeyToken=b77a5c561934e089iSystem.Drawing.Size, System.Drawing, Version=1.0.5000.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3aiSystem.Drawing.Icon, System.Drawing, Version=1.0.5000.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3apSystem.Globalization.CultureInfo, mscorlib, Version=1.0.5000.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]System.String, mscorlib, Version=1.0.5000.0, Culture=neutral, PublicKeyToken=b77a5c561934e089\System.Int32, mscorlib, Version=1.0.5000.0, Culture=neutral, PublicKeyToken=b77a5c561934e089}System.Windows.Forms.AxHost+State, System.Windows.Forms, Version=1.0.5000.0, Culture=neutral, PublicKeyToken=b77a5c561934e089jSystem.Drawing.Point, System.Drawing, Version=1.0.5000.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3aPADP
213  0x00018981 0x00419981 5   7    .text   utf8    ,OƮ5h
214  0x000189a1 0x004199a1 7   11   .text   utf8    Z-ɕgCɜŞ
215  0x000189c4 0x004199c4 5   8    .text   utf8    ϳ\aʐ4&
216  0x00018a20 0x00419a20 4   7    .text   utf8    m߉ϋe
217  0x00018ab0 0x00419ab0 5   7    .text   utf8    lwiּ+
218  0x00018af6 0x00419af6 7   10   .text   utf8    7ڏq=ھ3?
219  0x00018b32 0x00419b32 4   6    .text   utf8    UܙJc
220  0x00018b9a 0x00419b9a 4   9    .text   utf8    Pዿ}ᳲ
221  0x00018e71 0x00419e71 4   5    .text   ascii   =\t\bN
222  0x00018e7b 0x00419e7b 11  12   .text   ascii   \b53%\tK0D\t/h
223  0x00018ea3 0x00419ea3 5   6    .text   ascii   \fDm&\f
224  0x00018ead 0x00419ead 4   5    .text   ascii   Hq\f.
225  0x00018eb9 0x00419eb9 4   5    .text   ascii   &!\r,
226  0x00018fc7 0x00419fc7 5   6    .text   ascii   \e=nb\e
227  0x00019005 0x0041a005 4   6    .text   utf8    Ky ϯ
228  0x00019026 0x0041a026 8   11   .text   utf8    m"Ǽn"Uӏ"
229  0x00019036 0x0041a036 6   7    .text   ascii   .#_`<#
230  0x00019092 0x0041a092 6   7    .text   ascii   U)Ol`)
231  0x000190aa 0x0041a0aa 4   5    .text   ascii   y*\a?
232  0x000190af 0x0041a0af 4   6    .text   utf8    *\fɾ*
233  0x000190c1 0x0041a0c1 4   6    .text   utf8    \af+¡
234  0x000190d7 0x0041a0d7 5   6    .text   ascii   ,w\b\f,
235  0x000190de 0x0041a0de 7   8    .text   ascii   !,I1U,\b
236  0x000190fb 0x0041a0fb 5   6    .text   ascii   -ybS.
237  0x00019122 0x0041a122 6   8    .text   utf8    |0Cږ0A
238  0x00019153 0x0041a153 4   6    .text   utf8    3bڄ3
239  0x0001915f 0x0041a15f 4   6    .text   utf8    3H͠3
240  0x00019193 0x0041a193 9   10   .text   ascii   4`H+5f\rd5
241  0x000191ad 0x0041a1ad 7   8    .text   ascii   \vD6J|o6
242  0x000191be 0x0041a1be 6   8    .text   utf8    #7Ӆ(7=
243  0x000191c6 0x0041a1c6 6   7    .text   ascii   /7,\ns7
244  0x000191ed 0x0041a1ed 4   5    .text   ascii   j(9Z
245  0x00019209 0x0041a209 5   6    .text   ascii   y,;^+
246  0x00019221 0x0041a221 8   10   .text   utf8    sH<\rѷ<c:
247  0x00019251 0x0041a251 8   9    .text   ascii   X*>Lbs>y
248  0x0001927d 0x0041a27d 4   5    .text   ascii   *}@Q
249  0x0001928f 0x0041a28f 5   6    .text   ascii   @J=,A
250  0x000192bf 0x0041a2bf 5   6    .text   ascii   B^\BC
251  0x000192cb 0x0041a2cb 8   10   .text   utf8    D,< DН\eE
252  0x00019301 0x0041a301 5   6    .text   ascii   >+GJ\b
253  0x0001932d 0x0041a32d 7   8    .text   ascii   exJp9~J
254  0x0001933b 0x0041a33b 4   6    .text   utf8    JjޫJ
255  0x00019352 0x0041a352 6   7    .text   ascii   #La9jL
256  0x00019373 0x0041a373 6   7    .text   ascii   M\bd\fN|
257  0x0001937b 0x0041a37b 6   7    .text   ascii   N#swND
258  0x0001939a 0x0041a39a 6   7    .text   ascii   KPA?cP
259  0x000193ba 0x0041a3ba 6   7    .text   ascii   dQ.~yQ
260  0x000193c6 0x0041a3c6 5   7    .text   utf8    .Rآ@R
261  0x000193d9 0x0041a3d9 4   5    .text   ascii   9:S\r
262  0x000193e5 0x0041a3e5 4   5    .text   ascii   \RT\b
263  0x0001940b 0x0041a40b 12  15   .text   utf8    WiU'Wϯ2WĂ@Wu
264  0x00019435 0x0041a435 5   6    .text   ascii   U|Y1k
265  0x0001945a 0x0041a45a 4   5    .text   ascii   x[~k
266  0x0001947d 0x0041a47d 11  12   .text   ascii   /&^`(5^VWy^
267  0x000194a1 0x0041a4a1 4   6    .text   utf8    É`!8
268  0x000194ad 0x0041a4ad 4   5    .text   ascii   yEap
269  0x000194b2 0x0041a4b2 4   5    .text   ascii   raL*
270  0x000194bf 0x0041a4bf 6   7    .text   ascii   bN +c\
271  0x000194ef 0x0041a4ef 6   7    .text   ascii   ekF)fA
272  0x0001950a 0x0041a50a 4   5    .text   ascii   qgDL
273  0x00019556 0x0041a556 4   5    .text   ascii   ~jq@
274  0x00019582 0x0041a582 4   5    .text   ascii   Sl\h
275  0x00019599 0x0041a599 4   5    .text   ascii   Crm;
276  0x000195a5 0x0041a5a5 7   8    .text   ascii   :QnA\rpn
277  0x000195c1 0x0041a5c1 4   5    .text   ascii   F?ow
278  0x000195db 0x0041a5db 5   6    .text   ascii   pld#p
279  0x000195f3 0x0041a5f3 5   6    .text   ascii   p%@Gq
280  0x00019616 0x0041a616 10  11   .text   ascii   -s|$@s@yQs
281  0x00019621 0x0041a621 5   6    .text   ascii   Yls/x
282  0x00019633 0x0041a633 5   6    .text   ascii   s<L+t
283  0x00019661 0x0041a661 9   10   .text   ascii   \e&w/{Ywn2
284  0x0001967b 0x0041a67b 4   6    .text   utf8    wΘkx
285  0x000196a6 0x0041a6a6 4   5    .text   ascii   ozqf
286  0x000196c1 0x0041a6c1 5   6    .text   ascii   9s{\>
287  0x000196de 0x0041a6de 6   7    .text   ascii   \r}F\n"}
288  0x000196e5 0x0041a6e5 5   6    .text   ascii   =2}6B
289  0x000196ef 0x0041a6ef 5   6    .text   ascii   } hk~
290  0x0001a98d 0x0041b98d 22  46   .text   utf16le $this.DefaultModifiers
291  0x0001a9be 0x0041b9be 14  29   .text   utf16le $this.DrawGrid
292  0x0001a9df 0x0041b9df 14  29   .text   utf16le $this.GridSize
293  0x0001aa00 0x0041ba00 10  21   .text   utf16le $this.Icon
294  0x0001aa19 0x0041ba19 14  30   .text   utf16le $this.Language
295  0x0001aa3a 0x0041ba3a 17  35   .text   utf16le $this.Localizable
296  0x0001aa61 0x0041ba61 12  25   .text   utf16le $this.Locked
297  0x0001aa7e 0x0041ba7e 10  21   .text   utf16le $this.Name
298  0x0001aa97 0x0041ba97 16  33   .text   utf16le $this.SnapToGrid
299  0x0001aabc 0x0041babc 16  33   .text   utf16le $this.TrayHeight
300  0x0001aae1 0x0041bae1 19  39   .text   utf16le $this.TrayLargeIcon
301  0x0001ab0c 0x0041bb0c 32  65   .text   utf16le m_browserDXTest.DefaultModifiers
302  0x0001ab51 0x0041bb51 22  45   .text   utf16le m_browserDXTest.Locked
303  0x0001ab82 0x0041bb82 25  51   .text   utf16le m_browserDXTest.Modifiers
304  0x0001abb9 0x0041bbb9 24  49   .text   utf16le m_browserDXTest.OcxState
305  0x0001abee 0x0041bbee 35  71   .text   utf16le m_browserFocusTest.DefaultModifiers
306  0x0001ac39 0x0041bc39 25  51   .text   utf16le m_browserFocusTest.Locked
307  0x0001ac70 0x0041bc70 28  57   .text   utf16le m_browserFocusTest.Modifiers
308  0x0001acad 0x0041bcad 27  56   .text   utf16le m_browserFocusTest.OcxState
309  0x0001ace8 0x0041bce8 29  59   .text   utf16le m_browserLHS.DefaultModifiers
310  0x0001ad27 0x0041bd27 19  39   .text   utf16le m_browserLHS.Locked
311  0x0001ad52 0x0041bd52 22  45   .text   utf16le m_browserLHS.Modifiers
312  0x0001ad83 0x0041bd83 21  43   .text   utf16le m_browserLHS.OcxState
313  0x0001adb2 0x0041bdb2 33  67   .text   utf16le m_btnBrowserBack.DefaultModifiers
314  0x0001adf9 0x0041bdf9 23  47   .text   utf16le m_btnBrowserBack.Locked
315  0x0001ae2c 0x0041be2c 26  53   .text   utf16le m_btnBrowserBack.Modifiers
316  0x0001ae65 0x0041be65 36  73   .text   utf16le m_btnBrowserForward.DefaultModifiers
317  0x0001aeb2 0x0041beb2 26  53   .text   utf16le m_btnBrowserForward.Locked
318  0x0001aeeb 0x0041beeb 29  60   .text   utf16le m_btnBrowserForward.Modifiers
319  0x0001af2a 0x0041bf2a 32  65   .text   utf16le m_btnCancelSave.DefaultModifiers
320  0x0001af6f 0x0041bf6f 22  45   .text   utf16le m_btnCancelSave.Locked
321  0x0001afa0 0x0041bfa0 25  51   .text   utf16le m_btnCancelSave.Modifiers
322  0x0001afd7 0x0041bfd7 32  65   .text   utf16le m_btnCancelScan.DefaultModifiers
323  0x0001b01c 0x0041c01c 22  45   .text   utf16le m_btnCancelScan.Locked
324  0x0001b04d 0x0041c04d 25  51   .text   utf16le m_btnCancelScan.Modifiers
325  0x0001b084 0x0041c084 34  69   .text   utf16le m_btnEEPromShowMe.DefaultModifiers
326  0x0001b0cd 0x0041c0cd 24  49   .text   utf16le m_btnEEPromShowMe.Locked
327  0x0001b102 0x0041c102 27  55   .text   utf16le m_btnEEPromShowMe.Modifiers
328  0x0001b13d 0x0041c13d 29  59   .text   utf16le m_btnExecute.DefaultModifiers
329  0x0001b17c 0x0041c17c 19  39   .text   utf16le m_btnExecute.Locked
330  0x0001b1a7 0x0041c1a7 22  45   .text   utf16le m_btnExecute.Modifiers
331  0x0001b1d8 0x0041c1d8 33  67   .text   utf16le m_btnForwardFast.DefaultModifiers
332  0x0001b21f 0x0041c21f 23  47   .text   utf16le m_btnForwardFast.Locked
333  0x0001b252 0x0041c252 26  53   .text   utf16le m_btnForwardFast.Modifiers
334  0x0001b28b 0x0041c28b 33  67   .text   utf16le m_btnForwardSlow.DefaultModifiers
335  0x0001b2d2 0x0041c2d2 23  47   .text   utf16le m_btnForwardSlow.Locked
336  0x0001b305 0x0041c305 26  53   .text   utf16le m_btnForwardSlow.Modifiers
337  0x0001b33e 0x0041c33e 32  65   .text   utf16le m_btnOffsetLeft.DefaultModifiers
338  0x0001b383 0x0041c383 22  45   .text   utf16le m_btnOffsetLeft.Locked
339  0x0001b3b4 0x0041c3b4 25  51   .text   utf16le m_btnOffsetLeft.Modifiers
340  0x0001b3eb 0x0041c3eb 33  67   .text   utf16le m_btnOffsetReset.DefaultModifiers
341  0x0001b432 0x0041c432 23  47   .text   utf16le m_btnOffsetReset.Locked
342  0x0001b465 0x0041c465 26  53   .text   utf16le m_btnOffsetReset.Modifiers
343  0x0001b49e 0x0041c49e 33  67   .text   utf16le m_btnOffsetRight.DefaultModifiers
344  0x0001b4e5 0x0041c4e5 23  47   .text   utf16le m_btnOffsetRight.Locked
345  0x0001b518 0x0041c518 26  53   .text   utf16le m_btnOffsetRight.Modifiers
346  0x0001b551 0x0041c551 29  60   .text   utf16le m_btnPCSBack.DefaultModifiers
347  0x0001b590 0x0041c590 19  39   .text   utf16le m_btnPCSBack.Locked
348  0x0001b5bb 0x0041c5bb 22  45   .text   utf16le m_btnPCSBack.Modifiers
349  0x0001b5ec 0x0041c5ec 30  62   .text   utf16le m_btnPCSClose.DefaultModifiers
350  0x0001b62d 0x0041c62d 20  41   .text   utf16le m_btnPCSClose.Locked
351  0x0001b65a 0x0041c65a 23  47   .text   utf16le m_btnPCSClose.Modifiers
352  0x0001b68d 0x0041c68d 29  59   .text   utf16le m_btnPCSNext.DefaultModifiers
353  0x0001b6cc 0x0041c6cc 19  39   .text   utf16le m_btnPCSNext.Locked
354  0x0001b6f7 0x0041c6f7 22  45   .text   utf16le m_btnPCSNext.Modifiers
355  0x0001b728 0x0041c728 33  67   .text   utf16le m_btnReverseFast.DefaultModifiers
356  0x0001b76f 0x0041c76f 23  47   .text   utf16le m_btnReverseFast.Locked
357  0x0001b7a2 0x0041c7a2 26  53   .text   utf16le m_btnReverseFast.Modifiers
358  0x0001b7db 0x0041c7db 33  67   .text   utf16le m_btnReverseSlow.DefaultModifiers
