nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000f7 0x000000f7 6   7            ascii   ?Rich4
2    0x00000200 0x00000200 5   6            ascii   .text
3    0x00000227 0x00000227 7   8            ascii   `.rdata
4    0x0000024f 0x0000024f 6   7            ascii   @.data
5    0x00000278 0x00000278 5   6            ascii   .rsrc
6    0x0000029f 0x0000029f 7   8            ascii   @.reloc
104  0x000027d6 0x100027d6 4   6    .text   utf8    ˋ\$$
105  0x000027f1 0x100027f1 5   6    .text   ascii   t$(}\a
106  0x00002803 0x10002803 4   5    .text   ascii   FRP@
107  0x0000282c 0x1000282c 4   5    .text   ascii   t$(B
108  0x0000284c 0x1000284c 5   6    .text   ascii   FRPu&
109  0x0000291b 0x1000291b 4   5    .text   ascii   D$,\t
110  0x00002928 0x10002928 4   5    .text   ascii   D$(\e
111  0x0000294a 0x1000294a 5   6    .text   ascii   t$(}\a
112  0x0000295c 0x1000295c 4   5    .text   ascii   FRP@
113  0x000029d2 0x100029d2 5   6    .text   ascii   |$,}\a
114  0x00002a04 0x10002a04 5   6    .text   ascii   \$ }\a
115  0x00002a2f 0x10002a2f 4   5    .text   ascii   D$(\t
116  0x00002a97 0x10002a97 5   6    .text   ascii   }\rSUj
117  0x00002ab7 0x10002ab7 5   6    .text   ascii   }\rSUj
118  0x00002ad7 0x10002ad7 4   5    .text   ascii   L$hf
119  0x00002b33 0x10002b33 4   5    .text   ascii   T$lS
120  0x00002b3d 0x10002b3d 7   8    .text   ascii   D$xUVRP
121  0x00002bcc 0x10002bcc 4   6    .text   utf8    ًL$x
122  0x00002bea 0x10002bea 5   7    .text   utf8    3ɉL$8
123  0x00002c1a 0x10002c1a 7   9    .text   utf8    z\f+Ӊl$,
124  0x00002c68 0x10002c68 4   5    .text   ascii   \$pB
125  0x00002ca5 0x10002ca5 4   5    .text   ascii   \$pB
126  0x00002d0e 0x10002d0e 4   5    .text   ascii   \$pB
127  0x00002d35 0x10002d35 5   6    .text   ascii   l$,~9
128  0x00002dc4 0x10002dc4 6   8    .text   utf8    \b*ˈL$p
129  0x00002de3 0x10002de3 5   7    .text   utf8    L$ \nЈ
130  0x00002e0d 0x10002e0d 4   6    .text   utf8    ~53҅
131  0x00002e37 0x10002e37 6   7    .text   ascii   D$$FB;
132  0x00002e3e 0x10002e3e 4   6    .text   utf8    |Չt$
133  0x00002e45 0x10002e45 4   5    .text   ascii   D$h3
134  0x00002e51 0x10002e51 7   9    .text   utf8    t$p~:3҅
135  0x00002e82 0x10002e82 6   7    .text   ascii   D$(FB;
136  0x00002f76 0x10002f76 5   6    .text   ascii   D$(~6
137  0x00002f8b 0x10002f8b 5   6    .text   ascii   9L$$}
138  0x00002fa5 0x10002fa5 14  17   .text   utf8    D$(@;ŉD$(|ϋT$p
139  0x00002fb6 0x10002fb6 4   5    .text   ascii   D$h+
140  0x00002fc0 0x10002fc0 5   6    .text   ascii   D$p~-
141  0x00002fd0 0x10002fd0 5   6    .text   ascii   9L$$}
142  0x00002fe1 0x10002fe1 6   8    .text   utf8    ;ƋD$p}
143  0x00002fea 0x10002fea 5   6    .text   ascii   L$$E;
144  0x00002fff 0x10002fff 5   7    .text   utf8    +ˉL$p
145  0x0000303d 0x1000303d 5   7    .text   utf8    ȉL$(}
146  0x00003046 0x10003046 4   7    .text   utf8    /3ҊЃ
147  0x0000305d 0x1000305d 4   5    .text   ascii   L$(;
148  0x0000306b 0x1000306b 5   7    .text   utf8    +ÉD$p
149  0x00003097 0x10003097 5   6    .text   ascii   D$(O;
150  0x0000309d 0x1000309d 6   8    .text   utf8    }ҋD$,3
151  0x000030fa 0x100030fa 5   6    .text   ascii   D$,E;
152  0x0000315d 0x1000315d 5   6    .text   ascii   D$hE;
153  0x0000317e 0x1000317e 4   5    .text   ascii   L$8A
154  0x000031a4 0x100031a4 4   5    .text   ascii   _^][
155  0x000031b2 0x100031b2 5   6    .text   ascii   D$\bVh
156  0x0000320b 0x1000320b 7   8    .text   ascii   l$(WUt2
157  0x00003218 0x10003218 4   5    .text   ascii   L$<Q
158  0x00003220 0x10003220 4   5    .text   ascii   R@Ph
159  0x00003234 0x10003234 4   5    .text   ascii   D$<P
160  0x00003245 0x10003245 4   5    .text   ascii   T$<R
161  0x0000324d 0x1000324d 4   5    .text   ascii   Ph@I
162  0x00003276 0x10003276 4   5    .text   ascii   Qh8I
163  0x00003282 0x10003282 4   5    .text   ascii   RhlH
164  0x000032c4 0x100032c4 4   5    .text   ascii   Ph8I
165  0x000032d4 0x100032d4 4   5    .text   ascii   QhlH
166  0x00003313 0x10003313 7   8    .text   ascii   T;\bRh8I
167  0x00003320 0x10003320 7   8    .text   ascii   D;\bPhlH
168  0x00003340 0x10003340 5   6    .text   ascii   _][^Y
169  0x00003542 0x10003542 4   5    .text   ascii   D$X'
170  0x0000354a 0x1000354a 4   5    .text   ascii   L$LI
171  0x00003555 0x10003555 4   5    .text   ascii   IuSH
172  0x00003617 0x10003617 4   5    .text   ascii   ;t$X
173  0x00003650 0x10003650 5   6    .text   ascii   |$ }#
174  0x00003661 0x10003661 8   9    .text   ascii   |$ ;:|\fA
175  0x00003691 0x10003691 6   7    .text   ascii   |$ ;:|
176  0x00003699 0x10003699 4   5    .text   ascii   |$`G
177  0x000036a7 0x100036a7 4   5    .text   ascii   |$`|
178  0x000036c7 0x100036c7 4   5    .text   ascii   |$0}
179  0x00003758 0x10003758 4   5    .text   ascii   t$dF
180  0x000037e8 0x100037e8 4   5    .text   ascii   T$3R
181  0x000037f5 0x100037f5 4   5    .text   ascii   T$|R
182  0x0000383c 0x1000383c 4   5    .text   ascii   T$T;
183  0x000038ab 0x100038ab 4   6    .text   utf8    <\b3ې
184  0x000038bb 0x100038bb 5   7    .text   utf8    \b*ÈD$
185  0x000038d1 0x100038d1 4   6    .text   utf8    \nЋD$
186  0x00003901 0x10003901 4   5    .text   ascii   T$;R
187  0x0000394b 0x1000394b 4   5    .text   ascii   L$T;
188  0x0000398b 0x1000398b 4   5    .text   ascii   L$\;
189  0x0000399c 0x1000399c 4   5    .text   ascii   L$T;
190  0x000039fb 0x100039fb 5   6    .text   ascii   ;D$ |
191  0x00003a01 0x10003a01 4   5    .text   ascii   ;D$0
192  0x00003a25 0x10003a25 5   6    .text   ascii   ;D$ |
193  0x00003a2b 0x10003a2b 4   5    .text   ascii   ;D$0
194  0x00003a50 0x10003a50 5   6    .text   ascii   ;D$ |
195  0x00003a56 0x10003a56 4   5    .text   ascii   ;D$0
196  0x00003a7b 0x10003a7b 5   6    .text   ascii   ;D$ |
197  0x00003a81 0x10003a81 4   5    .text   ascii   ;D$0
198  0x00003aa0 0x10003aa0 7   8    .text   ascii   |`;D$ |
199  0x00003aa8 0x10003aa8 4   5    .text   ascii   ;D$0
200  0x00003ac7 0x10003ac7 7   8    .text   ascii   |9;D$ |
201  0x00003acf 0x10003acf 4   5    .text   ascii   ;D$0
202  0x00003b1b 0x10003b1b 5   6    .text   ascii   ;D$ |
203  0x00003b21 0x10003b21 4   5    .text   ascii   ;D$0
204  0x00003b48 0x10003b48 5   6    .text   ascii   ;D$ |
205  0x00003b4e 0x10003b4e 4   5    .text   ascii   ;D$0
206  0x00003b76 0x10003b76 5   6    .text   ascii   ;D$ |
207  0x00003b7c 0x10003b7c 4   5    .text   ascii   ;D$0
208  0x00003ba4 0x10003ba4 5   6    .text   ascii   ;D$ |
209  0x00003baa 0x10003baa 4   5    .text   ascii   ;D$0
210  0x00003bcc 0x10003bcc 7   8    .text   ascii   |_;D$ |
211  0x00003bd4 0x10003bd4 4   5    .text   ascii   ;D$0
212  0x00003bf6 0x10003bf6 7   8    .text   ascii   |5;D$ |
213  0x00003bfe 0x10003bfe 4   5    .text   ascii   ;D$0
214  0x00003cfe 0x10003cfe 4   7    .text   utf8    Iu$
215  0x00003d75 0x10003d75 4   5    .text   ascii   D$D+
216  0x00003e6e 0x10003e6e 6   8    .text   utf8    \b@;Ét$
217  0x00003f0b 0x10003f0b 4   5    .text   ascii   VUUU
218  0x00003f8e 0x10003f8e 4   5    .text   ascii   D$43
219  0x00003f95 0x10003f95 4   6    .text   utf8    ;ǉt$
220  0x00003fc9 0x10003fc9 7   8    .text   ascii   <!r!<Uw
221  0x00003fe7 0x10003fe7 6   7    .text   ascii   P;D$4|
222  0x00003ffc 0x10003ffc 4   5    .text   ascii   D$4G
223  0x00004071 0x10004071 5   6    .text   ascii   t$4FA
224  0x00004078 0x10004078 6   8    .text   utf8    P;ȉt$4
225  0x00004084 0x10004084 9   11   .text   utf8    |$8~\e+ȉL$
226  0x000040f3 0x100040f3 4   5    .text   ascii   ;D$4
227  0x00004106 0x10004106 4   5    .text   ascii   D$$3
228  0x0000410b 0x1000410b 4   6    .text   utf8    ;މ\$
229  0x00004120 0x10004120 7   8    .text   ascii   9|$@ui;
230  0x00004134 0x10004134 4   5    .text   ascii   D$$C
231  0x00004149 0x10004149 5   8    .text   utf8    D$$C뼃
232  0x00004154 0x10004154 5   6    .text   ascii   9|$Dt
233  0x00004167 0x10004167 6   9    .text   utf8    D$$C랍N
234  0x0000417e 0x1000417e 6   9    .text   utf8    D$$C뇍V
235  0x000041e0 0x100041e0 4   5    .text   ascii   ;D$4
236  0x000041ea 0x100041ea 6   7    .text   ascii   9|$@t-
237  0x00004205 0x10004205 4   5    .text   ascii   D$<A
238  0x00004216 0x10004216 4   5    .text   ascii   D$<3
239  0x0000422c 0x1000422c 4   5    .text   ascii   |$8t
240  0x000042be 0x100042be 10  11   .text   ascii   <&tD<0t@<:
241  0x000042fe 0x100042fe 9   10   .text   ascii   <!r;<Uw73
242  0x00004355 0x10004355 4   5    .text   ascii   D$<3
243  0x00004364 0x10004364 4   5    .text   ascii   L$|3
244  0x00004485 0x10004485 4   5    .text   ascii   D$$C
245  0x0000449c 0x1000449c 4   5    .text   ascii   D$43
246  0x0000451b 0x1000451b 5   6    .text   ascii   ;L$$}
247  0x00004596 0x10004596 4   5    .text   ascii   BAG;
248  0x000045b8 0x100045b8 4   5    .text   ascii   t$$3
249  0x000045fc 0x100045fc 4   5    .text   ascii   T$;R
250  0x00004641 0x10004641 4   5    .text   ascii   T$T;
251  0x000046a3 0x100046a3 5   6    .text   ascii   D$TVP
252  0x000046b8 0x100046b8 4   5    .text   ascii   L$8R
253  0x000046c1 0x100046c1 4   5    .text   ascii   D$|Q
254  0x000046f1 0x100046f1 4   5    .text   ascii   L$(A
255  0x000046fe 0x100046fe 4   5    .text   ascii   T$XB
256  0x0000486f 0x1000486f 4   5    .text   ascii   PPPj
257  0x000048aa 0x100048aa 4   5    .text   ascii   HtKH
258  0x000048c5 0x100048c5 4   5    .text   ascii   |$\fj
259  0x0000494a 0x1000494a 4   5    .text   ascii   PPPj
260  0x000049cb 0x100049cb 4   5    .text   ascii   PPPj
261  0x00004a44 0x10004a44 4   5    .text   ascii   D$$=
262  0x00004cbe 0x10004cbe 5   6    .text   ascii   L$\b^d
263  0x00004cde 0x10004cde 5   6    .text   ascii   u2Sh4
264  0x00004d12 0x10004d12 4   5    .text   ascii   WSh4
265  0x00004db3 0x10004db3 5   6    .text   ascii   L$0u.
266  0x00004e3c 0x10004e3c 5   7    .text   utf8    ыL$HI
267  0x00004e47 0x10004e47 8   10   .text   utf8    L$HuƋL$D
268  0x00004e55 0x10004e55 4   5    .text   ascii   l$ +
269  0x00004e63 0x10004e63 6   8    .text   utf8    ɉl$Htg
270  0x00004ec8 0x10004ec8 4   5    .text   ascii   L$<u
271  0x00004ed2 0x10004ed2 5   7    .text   utf8    L$0+Ѓ
272  0x00004ef4 0x10004ef4 4   5    .text   ascii   L$@u
273  0x00004efa 0x10004efa 4   5    .text   ascii   |$$O
274  0x00004f13 0x10004f13 4   5    .text   ascii   L$$+
275  0x00004fa4 0x10004fa4 4   6    .text   utf8    ͋l$@
276  0x00004fe9 0x10004fe9 4   6    .text   utf8    ɉL$D
277  0x00005050 0x10005050 4   6    .text   utf8    ͋l$@
278  0x000050f2 0x100050f2 4   5    .text   ascii   L$Tu
279  0x000050f7 0x100050f7 4   5    .text   ascii   _^][
280  0x0000511a 0x1000511a 4   5    .text   ascii   L$$+
281  0x00005230 0x10005230 4   5    .text   ascii   L$@u
282  0x00005280 0x10005280 4   5    .text   ascii   D$@u
283  0x00005285 0x10005285 4   5    .text   ascii   _^][
284  0x0000529d 0x1000529d 4   7    .text   utf8    t\tV蠤
285  0x000052b2 0x100052b2 4   5    .text   ascii   D$\fV
286  0x000052b7 0x100052b7 5   6    .text   ascii   t$\fPj
287  0x000052ea 0x100052ea 4   5    .text   ascii   L$\bQ
288  0x00005302 0x10005302 4   7    .text   utf8    3ɋЉ\n
289  0x0000533f 0x1000533f 4   5    .text   ascii   \fSVW
290  0x0000547b 0x1000547b 4   5    .text   ascii   L$ld
291  0x000054b3 0x100054b3 4   5    .text   ascii   D$8P
292  0x000054b8 0x100054b8 5   7    .text   utf8    L$,Ǆ$
293  0x00005508 0x10005508 4   5    .text   ascii   D$,P
294  0x0000550e 0x1000550e 5   7    .text   utf8    ;ǉFXj
295  0x0000553e 0x1000553e 4   5    .text   ascii   D$(P
296  0x0000554f 0x1000554f 5   6    .text   ascii   T$PRj
297  0x0000558d 0x1000558d 4   5    .text   ascii   D$Xj
298  0x0000559a 0x1000559a 5   6    .text   ascii   T$hRj
299  0x000055e3 0x100055e3 4   5    .text   ascii   D$t%
300  0x0000562b 0x1000562b 4   5    .text   ascii   D$(P
301  0x00005642 0x10005642 4   5    .text   ascii   ][_3
302  0x00005649 0x10005649 4   5    .text   ascii   L$ld
303  0x0000566b 0x1000566b 4   5    .text   ascii   L$dj
304  0x00005677 0x10005677 6   8    .text   utf8    +ȋD$tj
305  0x0000568a 0x1000568a 4   5    .text   ascii   L$,\e
306  0x00005695 0x10005695 6   8    .text   utf8    ;ǉF\ud
307  0x000056bd 0x100056bd 4   5    .text   ascii   N\bh0
308  0x000056d2 0x100056d2 4   5    .text   ascii   T$(R
309  0x000056e9 0x100056e9 4   5    .text   ascii   ][_3
310  0x000056f0 0x100056f0 4   5    .text   ascii   L$ld
311  0x00005701 0x10005701 4   5    .text   ascii   D$(P
312  0x0000578c 0x1000578c 4   5    .text   ascii   D$XP
313  0x000057d9 0x100057d9 4   5    .text   ascii   T$TR
314  0x000057ec 0x100057ec 4   5    .text   ascii   D$XP
315  0x00005829 0x10005829 4   5    .text   ascii   u4PW
316  0x00005834 0x10005834 4   5    .text   ascii   V\bPh
317  0x00005856 0x10005856 4   5    .text   ascii   \$4P
318  0x0000588a 0x1000588a 5   6    .text   ascii   L$$QR
319  0x0000589b 0x1000589b 4   5    .text   ascii   D$<P
320  0x000058a6 0x100058a6 4   5    .text   ascii   N\bPh
321  0x000058c8 0x100058c8 4   5    .text   ascii   \$4R
322  0x000058d3 0x100058d3 4   5    .text   ascii   L$$Q
323  0x000058e4 0x100058e4 5   6    .text   ascii   D$$PQ
324  0x000058fb 0x100058fb 5   6    .text   ascii   T$8PR
325  0x00005929 0x10005929 4   5    .text   ascii   L$8Q
326  0x00005935 0x10005935 4   5    .text   ascii   _][3
327  0x0000593c 0x1000593c 4   5    .text   ascii   L$Td
328  0x0000598c 0x1000598c 5   7    .text   ascii   FT;D$
329  0x00005993 0x10005993 4   5    .text   ascii   NP|:
330  0x000059a3 0x100059a3 4   5    .text   ascii   L$tj
331  0x00005a15 0x10005a15 4   5    .text   ascii   FTQP
332  0x00005a40 0x10005a40 4   7    .text   utf8    QRP踨
333  0x00005a7a 0x10005a7a 6   7    .text   ascii   T$LhTL
334  0x00005ae2 0x10005ae2 4   5    .text   ascii   QQQ3
335  0x00005b25 0x10005b25 4   5    .text   ascii   D$<P
336  0x00005b3c 0x10005b3c 4   5    .text   ascii   \b_][
337  0x00005b47 0x10005b47 4   5    .text   ascii   L$Td
338  0x00005b58 0x10005b58 4   5    .text   ascii   L$LQ
339  0x00005b66 0x10005b66 5   6    .text   ascii   L$|Ph
340  0x00005b8a 0x10005b8a 4   7    .text   utf8    t$H讛
341  0x00005b9b 0x10005b9b 4   5    .text   ascii   L$<Q
342  0x00005ba0 0x10005ba0 4   7    .text   utf8    t$<蘛
343  0x00005bbc 0x10005bbc 4   5    .text   ascii   D$Hj
344  0x00005bd0 0x10005bd0 4   5    .text   ascii   N\bPh
345  0x00005c03 0x10005c03 4   5    .text   ascii   D$<P
346  0x00005c28 0x10005c28 4   5    .text   ascii   T$Hj
347  0x00005c3c 0x10005c3c 4   5    .text   ascii   L$|P
348  0x00005c6c 0x10005c6c 4   5    .text   ascii   T$<R
349  0x00005c91 0x10005c91 4   5    .text   ascii   L$Hj
350  0x00005ca8 0x10005ca8 5   6    .text   ascii   L$|Ph
351  0x00005cfe 0x10005cfe 4   5    .text   ascii   L$X3
352  0x00005d61 0x10005d61 4   5    .text   ascii   L$\bj
353  0x00005d85 0x10005d85 5   6    .text   ascii   L$\fSU
354  0x00005d8f 0x10005d8f 6   7    .text   ascii   ~@UWPQ
355  0x00005dc7 0x10005dc7 4   5    .text   ascii   FPRP
356  0x00005dd1 0x10005dd1 6   7    .text   ascii   L$ _][
357  0x00005df2 0x10005df2 4   5    .text   ascii   \fSUV
358  0x00005dff 0x10005dff 4   5    .text   ascii   VTWP
359  0x00005e04 0x10005e04 5   6    .text   ascii   FPQRP
360  0x00005e6c 0x10005e6c 6   7    .text   ascii   H 9Ndt
361  0x00005ee3 0x10005ee3 4   5    .text   ascii   V\bQQ
362  0x00005ee8 0x10005ee8 6   7    .text   ascii   L$(j(h
363  0x00005efd 0x10005efd 4   5    .text   ascii   _^]3
364  0x00005f9d 0x10005f9d 4   5    .text   ascii   u'PP
365  0x0000601a 0x1000601a 4   5    .text   ascii   u\a^3
366  0x0000602d 0x1000602d 4   5    .text   ascii   F PW
367  0x00006070 0x10006070 7   8    .text   ascii   L$\fVVVh
368  0x0000608e 0x1000608e 4   5    .text   ascii   O`QV
369  0x0000609b 0x1000609b 6   7    .text   ascii   u\nPPPh
370  0x000060b2 0x100060b2 4   5    .text   ascii   L$\fj
371  0x000060ee 0x100060ee 4   7    .text   utf8    L$$芌
372  0x00006109 0x10006109 7   8    .text   ascii   u"PPj(h
373  0x00006153 0x10006153 8   11   .text   utf8    +ыN\f\eωP\b
374  0x00006230 0x10006230 4   5    .text   ascii   SUtm
375  0x00006251 0x10006251 5   7    .text   utf8    ՋV\bPh
376  0x0000627f 0x1000627f 5   7    .text   utf8    ՋN\bPh
377  0x000062e3 0x100062e3 4   5    .text   ascii   u%PP
378  0x000062e8 0x100062e8 5   7    .text   utf8    ՋV\bPh
379  0x00006313 0x10006313 4   5    .text   ascii   F4][
380  0x0000633b 0x1000633b 4   5    .text   ascii   l$,V
381  0x00006365 0x10006365 6   7    .text   ascii   u\rSSSh
382  0x000063a1 0x100063a1 5   6    .text   ascii   N@RQ3
383  0x0000649e 0x1000649e 4   5    .text   ascii   F\bhH
384  0x000064bc 0x100064bc 4   5    .text   ascii   N\bhH
385  0x000064db 0x100064db 4   5    .text   ascii   T$<R
386  0x000064e0 0x100064e0 6   7    .text   ascii   T$<PQR
387  0x0000650d 0x1000650d 5   7    .text   utf8    ʋT$8Q
388  0x00006514 0x10006514 4   5    .text   ascii   L$@P
389  0x0000651e 0x1000651e 6   7    .text   ascii   T$@PQR
390  0x00006525 0x10006525 4   5    .text   ascii   D$,h
391  0x00006547 0x10006547 4   5    .text   ascii   V\bPh
392  0x000065c9 0x100065c9 5   6    .text   ascii   _^][d
393  0x000065fc 0x100065fc 6   7    .text   ascii   N\bPPPh
394  0x00006632 0x10006632 4   5    .text   ascii   L$$h
395  0x00006679 0x10006679 4   5    .text   ascii   |$ S
396  0x0000667e 0x1000667e 7   8    .text   ascii   \$ PQWS
397  0x0000668b 0x1000668b 4   5    .text   ascii   T$,3
398  0x000066ae 0x100066ae 5   7    .text   utf8    ҉\$ t
399  0x000066c4 0x100066c4 4   5    .text   ascii   V`;B
400  0x000066e8 0x100066e8 5   6    .text   ascii   D$4QP
401  0x00006700 0x10006700 4   5    .text   ascii   N\bPh
402  0x00006731 0x10006731 5   7    .text   utf8    ًT$ 3
403  0x0000673d 0x1000673d 5   6    .text   ascii   D$$;G
404  0x000067f2 0x100067f2 4   5    .text   ascii   L$(j
405  0x000067f8 0x100067f8 7   8    .text   ascii   T$4RWPQ
406  0x00006807 0x10006807 8   9    .text   ascii   tI9|$0u^
407  0x00006819 0x10006819 4   6    .text   utf8    ;ÉD$
408  0x0000685d 0x1000685d 4   5    .text   ascii   N\bPh
409  0x000068e7 0x100068e7 4   5    .text   ascii   u"PP
410  0x000068f2 0x100068f2 4   5    .text   ascii   N\bPh
411  0x0000692b 0x1000692b 4   5    .text   ascii   F\W3
412  0x000069a9 0x100069a9 6   8    .text   utf8    ;ǉF$Wu
